"id","group_id","code","name","barcode","created_at","updated_at"
"1","2",NULL,"ROYALE PEWANGI WINTER BREEZE 780 ML","8998866808361","2022-08-03 14:17:40","2022-08-03 14:17:40"
"2","2",NULL,"ROYALE PEWANGI PURPLE DAWN780 ML","8998866808262","2022-08-03 14:17:40","2022-08-03 14:17:40"
"3","2",NULL,"ROYALE PEWANGI HOT SUMMER 780 ML","8998866808316","2022-08-03 14:17:40","2022-08-03 14:17:40"
"4","2",NULL,"SOKLIN PEWANGI PINK 800 ML","8998866602730","2022-08-03 14:17:40","2022-08-03 14:17:40"
"5","2",NULL,"SOKLIN PEWANGI RED 800 ML","8998866601849","2022-08-03 14:17:40","2022-08-03 14:17:40"
"6","2",NULL,"SOKLIN PEWANGI  HIJAB 800 ML","8998866613651","2022-08-03 14:17:40","2022-08-03 14:17:40"
"7","2",NULL,"MOLTO PURE 680 ML","8999999582326","2022-08-03 14:17:40","2022-08-03 14:17:40"
"8","2",NULL,"MOLTO VELVET BLOOM 720 ML","8999999574581","2022-08-03 14:17:40","2022-08-03 14:17:40"
"9","2",NULL,"SOKLIN SOFTENER MYSTICAL TOKYO 900 ML","8998866604390","2022-08-03 14:17:40","2022-08-03 14:17:40"
"10","2",NULL,"SOKLIN SOFTENER LOVE IN PARIS 900 ML","8998866659574","2022-08-03 14:17:40","2022-08-03 14:17:40"
"11","2",NULL,"DOWNY FRESH BOUQUET 550 ML","4987176053053","2022-08-03 14:17:40","2022-08-03 14:17:40"
"12","2",NULL,"DOWNY ADORABLE BOUQUET  550 ML","4987176053060","2022-08-03 14:17:40","2022-08-03 14:17:40"
"13","2",NULL,"YURI GLASS CLEANER LEMON FRESH 410 ML","8886030789922","2022-08-03 14:17:40","2022-08-03 14:17:40"
"14","2",NULL,"YURI GLASS CLEANER  FRESH LILAC 410 ML","8886030789939","2022-08-03 14:17:40","2022-08-03 14:17:40"
"15","2",NULL,"YURI GLASS CLEANER  FRESH BLUE 410 ML","8886030789908","2022-08-03 14:17:40","2022-08-03 14:17:40"
"16","2",NULL,"MR.MUSLE REFF LEMON 440 ML","8992779252303","2022-08-03 14:17:40","2022-08-03 14:17:40"
"17","2",NULL,"MR.MUSLE REFF APEL 440 ML","8992779253300","2022-08-03 14:17:40","2022-08-03 14:17:40"
